30.0
Point = 0
p0 0.0 0.0 0.0
p1 0.7768081264884646 0.7768081264884646 0.0
p2 0.7768081264884646 0.0 0.7768081264884646
p3 0.0 0.7768081264884646 0.7768081264884646
p4 0.0 0.0 1.5536162529769293
p5 0.7768081264884646 0.7768081264884646 1.5536162529769293
p6 0.7768081264884646 0.0 2.330424379465394
p7 0.0 0.7768081264884646 2.330424379465394
p8 0.0 1.5536162529769293 0.0
p9 0.7768081264884646 2.330424379465394 0.0
p10 0.7768081264884646 1.5536162529769293 0.7768081264884646
p11 0.0 2.330424379465394 0.7768081264884646
p12 0.0 1.5536162529769293 1.5536162529769293
p13 0.7768081264884646 2.330424379465394 1.5536162529769293
p14 0.7768081264884646 1.5536162529769293 2.330424379465394
p15 0.0 2.330424379465394 2.330424379465394
p16 1.5536162529769293 0.0 0.0
p17 2.330424379465394 0.7768081264884646 0.0
p18 2.330424379465394 0.0 0.7768081264884646
p19 1.5536162529769293 0.7768081264884646 0.7768081264884646
p20 1.5536162529769293 0.0 1.5536162529769293
p21 2.330424379465394 0.7768081264884646 1.5536162529769293
p22 2.330424379465394 0.0 2.330424379465394
p23 1.5536162529769293 0.7768081264884646 2.330424379465394
p24 1.5536162529769293 1.5536162529769293 0.0
p25 2.330424379465394 2.330424379465394 0.0
p26 2.330424379465394 1.5536162529769293 0.7768081264884646
p27 1.5536162529769293 2.330424379465394 0.7768081264884646
p28 1.5536162529769293 1.5536162529769293 1.5536162529769293
p29 2.330424379465394 2.330424379465394 1.5536162529769293
30.0
Point = 1
p0 -0.6743470710445825 -0.8709847947210955 -0.8758334523333784
p1 0.7668840485177144 0.6491003383718371 -0.6709129964428369
p2 0.7659528071999171 -0.7124333045895128 0.8080561773958961
p3 -0.7861001153348507 0.7022508305281628 0.885374431347614
p4 -0.7232224368021462 -0.7020376243671429 1.4253110088103773
p5 0.8547514774707021 0.7037012681841022 1.439529967627925
p6 0.7821484349062232 -0.651120912276586 3.171526969329157
p7 -0.7135383552925598 0.7552148239792472 3.206322261246069
p8 -0.7200826752438514 1.6699452456291526 -0.766897920104547
p9 0.7847388944694037 3.0534274840654754 -0.5815249041386911
p10 0.6726533549519916 1.4498198578076116 0.6996233430995621
p11 -0.8589110630991827 3.063825732357076 0.7385106143710889
p12 -0.55452764665353 1.6752068202000516 1.5536577562023959
p13 0.7581002181439708 3.03808387600591 1.5325992263658645
p14 0.8431423154844028 1.6344205369435725 3.1412919386924263
p15 -0.6271256277696973 3.201506972721406 3.1345261884806614
p16 1.517813949656293 -0.7862570540507929 -0.5263390060948017
p17 3.2437964179189382 0.8982813522758919 -0.6068538569878479
p18 3.2111844028994216 -0.8255365725723488 0.7680379774954583
p19 1.6521566639960366 0.6772465541765325 0.6612695847190788
p20 1.4659805005785032 -0.5520019994532359 1.7135901236977238
p21 3.2006702930216098 0.9322616073022391 1.6431471570569718
p22 3.151280623934157 -0.6351925120736702 3.1895996070927657
